farmer_id,farmer_name,village,region,cattle_count,avg_daily_litres,fat_avg,protein_avg,years_with_amul,payment_per_litre
F0001,Farmer 1,Village 2,Maharashtra,40,88.6,3.71,3.08,24,36.92
F0002,Farmer 2,Village 38,Maharashtra,59,28.9,3.64,3.19,20,28.27
F0003,Farmer 3,Village 46,Delhi,74,137.5,4.17,3.22,28,28.06
F0004,Farmer 4,Village 45,Rajasthan,59,115.3,3.73,3.77,11,29.02
F0005,Farmer 5,Village 7,Tamil Nadu,50,257.3,4.41,3.65,24,32.59
F0006,Farmer 6,Village 25,Maharashtra,15,174.6,4.74,3.49,28,31.62
F0007,Farmer 7,Village 46,Delhi,13,32.8,3.84,3.23,3,36.55
F0008,Farmer 8,Village 25,Maharashtra,40,147.0,4.75,3.13,12,30.1
F0009,Farmer 9,Village 45,Uttar Pradesh,14,190.6,3.76,3.58,6,32.62
F0010,Farmer 10,Village 41,Uttar Pradesh,76,81.5,3.99,3.61,2,30.29
F0011,Farmer 11,Village 21,Gujarat,56,95.0,3.82,3.75,29,35.18
F0012,Farmer 12,Village 42,Delhi,68,130.8,4.87,3.37,9,29.4
F0013,Farmer 13,Village 48,Uttar Pradesh,79,140.0,4.38,3.29,5,33.1
F0014,Farmer 14,Village 49,Maharashtra,11,261.1,3.73,3.13,22,32.22
F0015,Farmer 15,Village 25,Maharashtra,53,186.8,4.2,3.2,18,36.61
F0016,Farmer 16,Village 44,Gujarat,19,210.9,4.31,3.21,21,31.4
F0017,Farmer 17,Village 28,Uttar Pradesh,25,147.0,4.93,3.7,9,37.72
F0018,Farmer 18,Village 33,Rajasthan,18,263.7,3.95,3.51,20,29.99
F0019,Farmer 19,Village 49,Karnataka,25,171.0,4.67,3.42,1,33.99
F0020,Farmer 20,Village 2,West Bengal,19,280.1,4.82,3.67,10,30.39
F0021,Farmer 21,Village 37,Delhi,15,44.0,4.23,3.06,25,33.33
F0022,Farmer 22,Village 9,Rajasthan,65,285.1,3.75,3.42,20,32.23
F0023,Farmer 23,Village 35,Delhi,30,219.6,4.1,3.54,12,32.38
F0024,Farmer 24,Village 8,West Bengal,36,82.9,4.01,3.47,8,33.88
F0025,Farmer 25,Village 5,Gujarat,12,84.1,4.86,3.69,3,33.14
F0026,Farmer 26,Village 43,Uttar Pradesh,67,80.0,3.7,3.75,19,33.76
F0027,Farmer 27,Village 31,Delhi,57,73.3,3.65,3.34,14,32.11
F0028,Farmer 28,Village 44,Gujarat,17,37.0,4.59,3.64,4,30.49
